epochhours,last_price,firm_executable_bid,firm_executable_ask,market_estimate_bid,market_estimate_ask,FlowTradersMidpoint ,FlowTradesBid ,FlowTradesAsk 
1614852000,,124.1861429,124.5383571,,,,,
1614855600,,124.1568033,124.5178852,,,,,
1614859200,,,,123.9665673,124.5534967,,,
1614862800,,124.136,124.497,,,,,
1614866400,,,,123.949,124.556,,,
1614870000,,123.621,124.003,,,,,
1614873600,,124.26125,124.6645937,,,,,
1614877200,,,,124.0878073,124.6746327,,,
1614880800,,,,124.1117419,124.6988034,,,
1614884400,,124.4254186,124.8231628,,,,,
1614888000,,,,124.0845156,124.6633472,,,
1614891600,,124.3750137,124.7532466,,,,,
1614895200,,,,123.9872439,124.5669772,,,
1614898800,,124.3004211,124.6768553,,,,,
1614902400,,124.2051667,124.5798725,,,,,
1614906000,,,,123.8783612,124.4513202,,,
1614909600,,124.1451687,124.5149759,,,,,
1614913200,,,,123.7875364,124.3579652,,,
1614916800,,,,123.8350815,124.4058723,,,
1614920400,,124.0007959,124.5070714,,,,,
1614924000,,,,123.8105874,124.3799387,,,
1614927600,,123.9573838,124.4652626,,,,,
1614931200,,,,123.7853032,124.355552,,,
1614934800,,123.9557865,124.3475281,,,,,
1614938400,,123.8784,124.2256947,,,,,
1614942000,,,,123.6548567,124.227228,,,
1614945600,,123.835,124.186,,,,,
1614949200,,,,123.597,124.186,,,
1614952800,,123.674375,124.0219375,,,,,
1614956400,,,,123.5242768,124.0875348,,,
1614960000,,,,123.5943694,124.1729873,,,
1614963600,,123.6736186,124.0208144,,,,,
1614967200,,123.7917412,124.1251059,,,,,
1614970800,,,,123.6616748,124.2450976,,,
1614974400,,,,123.7563866,124.3413458,,,
1614978000,,123.8841169,124.2032727,,,,,
1614981600,,123.8925735,124.209,,,,,
1614985200,,,,123.718314,124.3100136,,,
1614988800,,123.8407436,124.1479359,,,,,
1614992400,,,,123.6550661,124.2494946,,,
1614996000,,,,123.5902787,124.1927154,,,
1614999600,,123.7743361,124.0817059,,,,,
1615003200,,,,123.7774779,124.3795118,,,
1615006800,,123.9181789,124.2260976,,,,,
1615010400,,,,123.8545684,124.454345,,,
