epochhours,last_price,firm_executable_bid,firm_executable_ask,market_estimate_bid,market_estimate_ask
1603274400,,,,122.1039935,122.7435677
1603278000,,122.2419167,122.8388333,,
1603278000,,,,122.1425689,122.7858574
1603281600,,,,122.0724638,122.7208798
1603281600,,122.1669091,122.7800909,,
1603285200,,122.20875,122.8055625,,
1603285200,,,,122.1003339,122.7506645
1603288800,,122.325,122.9268421,,
1603288800,,,,122.16719,122.8108901
1603288800,122.6405,,,,
1603292400,,122.279,122.8792,,
1603292400,,,,122.1357316,122.7800137
1603296000,,122.258,122.859,,
1603321200,,,,122.115,122.779
1603346400,,,,122.1418582,122.734948
1603346400,,122.2379318,122.8536136,,
1603350000,,122.383,122.9681765,,
1603350000,,,,122.2142508,122.8299762
1603353600,,,,122.1631109,122.7724502
1603353600,,122.3390769,122.9257692,,
1603357200,,,,122.1551706,122.7845034
1603357200,,122.334,122.92075,,
1603360800,,122.293625,122.880125,,
1603360800,,,,122.1133303,122.7400399
1603364400,,,,122.2245573,122.8494205
1603364400,,122.3610833,122.9514167,,
1603368000,,122.4637273,123.0654545,,
1603368000,,,,122.3126509,122.934597
1603371600,,,,122.2207066,122.8355622
1603371600,,122.3966316,123.0015789,,
1603375200,,122.3531429,122.9655,,
1603375200,,,,122.1855778,122.7980317
1603375200,122.767,,,,
1603378800,,122.3005385,122.9046923,,
1603378800,,,,122.0740498,122.6830594
1603407600,,,,122.097,122.707
1603432800,,,,122.2406187,122.8227955
1603432800,,122.3404588,122.9396588,,
1603436400,,122.3445714,122.9426429,,
1603436400,,,,122.1936083,122.8296656
1603440000,,,,122.163299,122.7970784
1603440000,,122.3450833,122.9481667,,
1603443600,,,,122.1162924,122.7406202
1603443600,,122.2976667,122.9022,,
1603447200,,122.277,122.8779286,,
1603447200,,,,122.1336728,122.7410319
1603450800,,122.2441111,122.842,,
1603450800,,,,122.0979806,122.70197
1603454400,,122.2070833,122.8055833,,
1603454400,,,,122.0483595,122.6502386
1603458000,,122.2594545,122.8576364,,
1603458000,,,,122.1420702,122.7529314
1603461600,,122.3531538,122.9509231,,
1603461600,122.805,,,,
1603461600,,,,122.2873448,122.8943317
1603465200,,,,122.3118583,122.92133
1603465200,,122.4313333,123.0284167,,
1603494000,,,,122.351,122.979
1603526400,,,,122.351,122.979
1603548000,,,,122.351,122.979
1603566000,,,,122.351,122.979
1603623600,,,,122.351,122.979
1603670400,,,,122.351,122.979
1603695600,,122.5505789,123.1515439,,
1603695600,,,,122.5819412,123.16282
1603699200,,,,122.5173941,123.1295016
1603699200,,122.507,123.1039167,,
1603702800,,,,122.4847392,123.0879888
1603702800,,122.4664,123.0633,,
1603706400,,122.4253571,123.0218571,,
1603706400,,,,122.421038,123.0249689
1603710000,,,,122.3088761,122.9127993
1603710000,,122.2955833,122.8921667,,
